ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"10uF"	"C1,C6,C7,C8,C11,C14"	"C0603"	"6"	"GRM188R6YA106MA73D"	"muRata(村田)"	"LCSC"	"C194427"	"0.037"
"2"	"1uF"	"C2,C12,C15,C16,C17,C18"	"C0603"	"6"	"CGA0603X5R105K160JT"	"HRE(芯声)"	"LCSC"	"C6119849"	"0.003"
"3"	"100nF"	"C3,C9,C10,C13"	"C0603"	"4"	"CGA0603X7R104K500JT"	"HRE(芯声)"	"LCSC"	"C6119867"	"0.002"
"4"	"470pF"	"C4"	"C0603"	"1"	"CC0603JRNPO9BN471"	"YAGEO(国巨)"	"LCSC"	"C106211"	"0.004"
"5"	"2.2uF"	"C5"	"C0603"	"1"	"CL10A225KB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C913904"	"0.022"
"6"	"SS34_C2909963"	"D1"	"SMA_L4.2-W2.7-LS5.0-RD"	"1"	"SS34"	"YONGYUTAI(永裕泰)"	"LCSC"	"C2909963"	"0.018"
"7"	"HDR-M-2.54_1x6"	"J1,J2"	"HDR-M-2.54_1X6"	"2"	""	""	"LCSC"	"C190819"	"0.032"
"8"	"XL-1608UBC-04"	"LED5,CHG_FULL"	"LED0603-RD_BLUE"	"2"	"XL-1608UBC-04"	"XINGLIGHT(成兴光)"	"LCSC"	"C965807"	"0.004"
"9"	"XL-1608SURC-06"	"LED4,CHG"	"LED0603-RD_RED"	"2"	"XL-1608SURC-06"	"XINGLIGHT(成兴光)"	"LCSC"	"C965799"	"0.003"
"10"	"PSC-1608U52GC-G4"	"LED6"	"LED0603-RD_GREEN"	"1"	"PSC-1608U52GC-G4"	"HONGLITRONIC(鸿利光电)"	"LCSC"	"C22371297"	"0.008"
"11"	"AO3401_C2985640"	"Q1"	"SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR"	"1"	"AO3401"	"KUU"	"LCSC"	"C2985640"	"0.033"
"12"	"DDC114TU-7-F"	"Q2"	"SOT-363_L2.0-W1.3-P0.65-LS2.1-BL"	"1"	"DDC114TU-7-F"	"DIODES(美台)"	"LCSC"	"C526523"	"0.07"
"13"	"SI2302"	"Q3,Q4,Q5,Q6"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"4"	"SI2302"	"Hottech(合科泰)"	"LCSC"	"C181087"	"0.023"
"14"	"470Ω"	"R1"	"R0603"	"1"	"0603WAF4700T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23179"	"0.001"
